# {"t_start": 1619460397.1692522, "env_id": "HalfCheetah-v2"} 
r,l,t
-305.032426,1000,3.891806
-373.967666,1000,6.210127
-481.963846,1000,8.632204
-415.320812,1000,10.681767
-293.723625,1000,12.850899
-341.596038,1000,14.964675
-334.957099,1000,17.155111
-420.524055,1000,19.478333
-287.970862,1000,21.743503
-387.299525,1000,24.011361
-315.265637,1000,26.296445
-380.695013,1000,28.520978
-305.556036,1000,30.793316
-266.710787,1000,33.004289
-313.123605,1000,35.220769
-501.278326,1000,37.475996
-393.461437,1000,39.662655
-449.766371,1000,42.045508
-608.4634,1000,44.211256
-275.437897,1000,46.45618
-410.350996,1000,48.736766
-346.294549,1000,51.02698
-331.333538,1000,53.2681
-273.849538,1000,55.528807
-290.520607,1000,57.848821
-361.116094,1000,59.840997
-397.494666,1000,61.778177
-553.893847,1000,63.721012
-310.848086,1000,65.658111
-309.242932,1000,67.596494
-242.622861,1000,69.575061
-429.529219,1000,71.508521
-250.825214,1000,73.413261
-137.29022,1000,75.341738
-523.561418,1000,77.308031
-312.967826,1000,79.287334
-382.751587,1000,81.236208
-448.096109,1000,83.197592
-251.143451,1000,85.178181
-300.84075,1000,87.196389
-320.545424,1000,89.274311
-440.833853,1000,91.287893
-423.844665,1000,93.292105
-362.143621,1000,95.293616
-536.888871,1000,97.278467
-416.015113,1000,99.292845
-524.278115,1000,101.262468
-355.785848,1000,103.249532
-381.341116,1000,105.305517
-384.689944,1000,107.272474
-431.002008,1000,109.227248
-309.677292,1000,111.179795
-268.239771,1000,113.177401
-368.25298,1000,115.162786
-377.376696,1000,117.131884
-479.180433,1000,119.165308
-423.589702,1000,121.19113
-349.760898,1000,123.185509
-469.854827,1000,125.165692
-267.598597,1000,127.141879
-449.875217,1000,129.171575
-383.086886,1000,131.152936
-191.124328,1000,133.153349
-421.816854,1000,135.161695
-332.153899,1000,137.174853
-554.344628,1000,139.211432
-322.344949,1000,141.229631
-286.48808,1000,143.28105
-385.998266,1000,145.281164
-388.819328,1000,147.262728
-327.00423,1000,149.26997
-336.837337,1000,151.213292
-355.927726,1000,153.17148
-371.389247,1000,155.112194
-353.154903,1000,157.068417
-242.695657,1000,159.028752
-335.355188,1000,160.977998
-392.436652,1000,162.947535
-350.115957,1000,164.911247
-314.097679,1000,166.850487
-352.89209,1000,168.872629
-437.549339,1000,170.860802
-462.730521,1000,172.826852
-351.052927,1000,174.807266
-315.648792,1000,176.783612
-368.155836,1000,178.771513
-223.424319,1000,180.736513
-426.611702,1000,182.711725
-400.859132,1000,184.713036
-317.170544,1000,186.73464
-306.745849,1000,188.766874
-298.031104,1000,190.695474
-313.781736,1000,192.669488
-364.065513,1000,194.642087
-325.53016,1000,196.598371
-298.362036,1000,198.55384
-356.606187,1000,200.51346
-266.506115,1000,202.475693
-378.749655,1000,204.482548
-265.636078,1000,206.409595
-438.109843,1000,208.421041
-441.682268,1000,210.4108
-324.162799,1000,212.382268
-345.399119,1000,214.325893
-510.651212,1000,216.26912
-394.983773,1000,218.25376
-414.413146,1000,220.207721
-324.840077,1000,222.234463
-375.486187,1000,224.193164
-316.474194,1000,226.182355
-332.116047,1000,228.151933
-265.869303,1000,230.159258
-319.541441,1000,232.153192
-347.419649,1000,234.096804
-388.191275,1000,236.019453
-373.638802,1000,238.05094
-300.56559,1000,240.009386
-416.214457,1000,242.009048
-374.500101,1000,244.0086
-291.368494,1000,246.012211
-439.120462,1000,247.972906
-522.552645,1000,249.915906
-231.189777,1000,251.908804
-353.983747,1000,253.926322
-264.019524,1000,255.89517
-317.755946,1000,257.883841
-410.55537,1000,259.859614
-252.522247,1000,261.894665
-262.48707,1000,263.902988
-315.12002,1000,265.936834
-497.089659,1000,267.913228
-302.808903,1000,269.807515
-577.105727,1000,271.734035
-415.729114,1000,273.689608
-380.002596,1000,275.664171
-261.812467,1000,277.632761
-345.825054,1000,279.592632
-435.122398,1000,281.607776
-423.573158,1000,283.619942
-445.734564,1000,285.58988
-356.796327,1000,287.533584
-331.088377,1000,289.46758
-266.515929,1000,291.402706
-296.887122,1000,293.374189
-506.127158,1000,295.388619
-398.482692,1000,297.425405
-416.339823,1000,299.408858
-370.988403,1000,301.372405
-267.138395,1000,303.310063
-229.557326,1000,305.241651
-361.435973,1000,307.171308
-274.222801,1000,309.082389
-190.808981,1000,311.024147
-408.210126,1000,312.929424
-539.744487,1000,314.868651
-484.592189,1000,316.808208
-241.448172,1000,318.737744
-329.331509,1000,320.733846
-359.972729,1000,322.782286
-86.73063,1000,324.815917
-334.096717,1000,326.823396
-519.615241,1000,328.77904
-474.724765,1000,330.742048
-532.069102,1000,332.674584
-404.566507,1000,334.604621
-331.512734,1000,336.614298
-353.617206,1000,338.648147
-400.013739,1000,340.686021
-330.068997,1000,342.665962
-292.864828,1000,344.649491
-275.213917,1000,346.710408
-254.681811,1000,348.71113
-331.177629,1000,350.719187
-279.058991,1000,352.673968
-349.850955,1000,354.640699
-456.462114,1000,356.627933
-421.793743,1000,358.605271
-402.745904,1000,360.684229
-267.298131,1000,362.714372
-237.298855,1000,364.648401
-349.730027,1000,366.593559
-375.731504,1000,368.549099
-329.774582,1000,370.511406
-353.479492,1000,372.506374
-331.026861,1000,374.437872
-183.849613,1000,376.522668
-309.877797,1000,378.484652
-458.013143,1000,380.465018
-225.468254,1000,382.392685
-338.861093,1000,384.280459
-222.971689,1000,386.191251
-336.996176,1000,388.128158
-272.505926,1000,390.074958
-446.095537,1000,391.984899
-244.08021,1000,393.890901
-162.217941,1000,395.860894
-360.653589,1000,397.881256
-415.536843,1000,399.889175
-289.729032,1000,401.857529
-410.231879,1000,403.87357
-253.235242,1000,405.905597
-266.935154,1000,407.875309
-366.229576,1000,409.849679
-357.369336,1000,411.826223
-276.530864,1000,413.773938
-275.694463,1000,415.74333
-376.647002,1000,417.699217
-294.126842,1000,419.703177
-321.369362,1000,421.716736
-231.716844,1000,423.664034
-265.152449,1000,425.624457
-330.537904,1000,427.546225
-321.695041,1000,429.529815
-419.34669,1000,431.464674
-346.66009,1000,433.381751
-275.617186,1000,435.358364
-329.509969,1000,437.316558
-308.557353,1000,439.269863
-404.334249,1000,441.193542
-370.026862,1000,443.158167
-382.189517,1000,445.108305
-380.142976,1000,447.026135
-288.361218,1000,449.059583
-336.990833,1000,451.065455
-225.23094,1000,453.071825
-290.8544,1000,455.055347
-234.835269,1000,457.104211
-289.92727,1000,459.144169
-310.665619,1000,461.115683
-243.784394,1000,463.054579
-345.621235,1000,464.993177
-329.656652,1000,466.91236
-317.558151,1000,468.989739
-308.352151,1000,471.010536
-307.401256,1000,472.958797
-396.120987,1000,474.938736
-359.366281,1000,476.869752
-498.222894,1000,478.830255
-329.907117,1000,480.756515
-303.549148,1000,482.714909
-391.109243,1000,484.677144
-352.058647,1000,486.615908
-220.166831,1000,488.578559
-274.847643,1000,490.508952
-236.578473,1000,492.456708
-362.93647,1000,494.466522
-301.91116,1000,496.485443
-302.286427,1000,498.439084
-341.188013,1000,500.419959
-296.155069,1000,502.374974
-361.238118,1000,504.36629
-289.918082,1000,506.313204
-315.666871,1000,508.320257
-356.293689,1000,510.323571
-331.350318,1000,512.329898
-333.596483,1000,514.366353
-309.948226,1000,516.359177
-118.897895,1000,518.389238
-353.856677,1000,520.405528
-356.238452,1000,522.365709
-260.855778,1000,524.371534
-316.660276,1000,526.364846
-392.754343,1000,528.351122
-350.118748,1000,530.329072
-391.388699,1000,532.312758
-241.388952,1000,534.312146
-280.8593,1000,536.268737
-378.791464,1000,538.238184
-315.856768,1000,540.178501
-311.941056,1000,542.102938
-345.561592,1000,544.039265
-183.675712,1000,545.993162
-301.680279,1000,547.927258
-168.198187,1000,549.844917
-306.95945,1000,551.80875
-327.497571,1000,553.843548
-288.143096,1000,555.851971
-368.41777,1000,557.854132
-338.160953,1000,559.847707
-503.114929,1000,561.803258
-379.274047,1000,563.82409
-386.049645,1000,565.80644
-199.236892,1000,567.799711
-321.120469,1000,569.737682
-442.617685,1000,571.67601
-301.107885,1000,573.653311
-270.073448,1000,575.58508
-247.540517,1000,577.611785
-88.811328,1000,579.568995
-293.543813,1000,581.544547
-268.051528,1000,583.538749
-348.30996,1000,585.510926
-350.88904,1000,587.520693
-260.441991,1000,589.511883
-45.173806,1000,591.487858
-391.670585,1000,593.455729
-331.197663,1000,595.454995
-329.697478,1000,597.41613
-316.239619,1000,599.402234
-242.380401,1000,601.379402
-345.380091,1000,603.339223
-339.29846,1000,605.306296
-462.255185,1000,607.344965
-303.317456,1000,609.364809
-398.338084,1000,611.351546
-352.043155,1000,613.326197
-407.039294,1000,615.280394
-148.292417,1000,617.252684
-310.996809,1000,619.210938
-287.033346,1000,621.185681
-315.984226,1000,623.169542
-314.17704,1000,625.118864
-306.978591,1000,627.124841
-324.305569,1000,629.09476
-302.033138,1000,631.049875
-333.746348,1000,633.021226
-407.979552,1000,635.028471
-395.632904,1000,637.025306
-424.790209,1000,639.039934
-319.257468,1000,641.020138
-327.774541,1000,642.999382
-163.223736,1000,645.017845
-405.360638,1000,647.037886
-290.371047,1000,649.017723
-301.502704,1000,650.978637
-287.164254,1000,652.932429
-245.376847,1000,654.866
-276.652561,1000,656.814832
-301.398803,1000,658.748416
-327.384484,1000,660.694699
-291.1086,1000,662.694894
-259.817613,1000,664.646816
-293.062455,1000,666.613803
-366.962662,1000,668.578959
-338.763274,1000,670.528318
-306.316391,1000,672.481381
-353.657663,1000,674.400811
-381.483502,1000,676.40823
-303.457619,1000,678.401292
-306.12964,1000,680.365981
-441.782189,1000,682.34002
-279.98703,1000,684.331968
-374.952625,1000,686.30638
-319.80442,1000,688.251553
-211.891511,1000,690.218886
-357.933078,1000,692.171124
-377.22884,1000,694.106358
-325.658481,1000,696.066681
-270.937146,1000,698.062521
-361.096213,1000,700.094383
-381.330556,1000,702.079814
-296.666448,1000,704.058338
-244.988471,1000,705.981876
-356.227958,1000,707.91978
-268.202362,1000,709.918204
-168.312946,1000,711.930724
-358.83728,1000,713.898905
-310.861787,1000,715.89614
-365.889995,1000,717.927577
-339.33632,1000,719.927654
-296.669647,1000,721.918707
-343.532439,1000,723.892495
-484.033206,1000,725.850634
-324.556535,1000,727.823602
-289.27305,1000,729.798298
-345.664272,1000,731.869376
-290.983292,1000,733.829938
-291.201356,1000,735.795552
-312.663735,1000,737.766434
-579.947941,1000,739.780508
-273.492636,1000,741.736581
-323.75672,1000,743.722134
-286.557472,1000,745.724154
-316.997604,1000,747.748981
-293.853453,1000,749.695945
-439.250169,1000,751.672657
-324.760574,1000,753.660935
-304.151131,1000,755.682054
-263.199882,1000,757.645384
-264.955862,1000,759.605697
-460.528665,1000,761.619838
-311.853612,1000,763.55586
-303.293516,1000,765.528735
-224.338981,1000,767.478292
-300.855452,1000,769.461898
-255.422423,1000,771.412275
-299.809838,1000,773.355706
-257.949951,1000,775.347704
-363.270907,1000,777.342973
-224.086902,1000,779.356173
-302.567519,1000,781.371209
-272.236631,1000,783.330191
-335.555198,1000,785.25207
-390.982598,1000,787.197955
-198.421092,1000,789.169749
-314.554168,1000,791.146586
-293.982476,1000,793.108957
-210.283022,1000,795.061518
-299.875889,1000,797.020986
-244.478541,1000,798.983174
-251.235596,1000,800.989688
-307.235841,1000,802.945598
-287.132589,1000,804.935418
-165.468156,1000,806.892226
-159.756048,1000,808.8221
-82.213731,1000,810.839244
-342.21036,1000,812.817964
-337.44005,1000,814.846596
-274.528884,1000,816.857623
-380.466939,1000,818.815262
-265.67168,1000,820.900046
-246.497668,1000,822.878289
-284.378651,1000,824.880661
-285.850319,1000,826.825308
-263.419954,1000,828.765097
-329.801365,1000,830.724262
-261.129397,1000,832.694777
-279.834515,1000,834.714958
-343.95536,1000,836.684319
-451.289615,1000,838.626636
-200.991383,1000,840.572759
-298.589803,1000,842.557752
-282.976373,1000,844.517895
-246.151449,1000,846.432844
-285.767843,1000,848.344985
-263.653746,1000,850.290424
-360.161079,1000,852.193882
-257.118959,1000,854.176319
-327.505309,1000,856.1911
-438.062562,1000,858.171419
-348.578349,1000,860.158347
-263.591934,1000,862.111595
-284.582666,1000,864.152206
-250.606318,1000,866.129926
-254.180179,1000,868.114634
-328.829875,1000,870.089114
-228.655518,1000,872.030194
-487.918401,1000,874.025823
-458.558758,1000,875.992279
-295.538614,1000,877.9703
-276.676691,1000,879.962643
-425.656243,1000,881.928787
-354.995367,1000,884.048713
-374.795911,1000,886.039538
-273.369002,1000,888.003973
-317.264828,1000,890.005298
-261.71533,1000,891.958273
-307.311558,1000,893.943287
-287.352228,1000,895.926916
-249.28372,1000,897.916528
-116.538066,1000,899.895834
-258.234312,1000,901.853279
-232.163104,1000,903.825404
-222.777081,1000,905.798149
-250.057519,1000,907.761349
-424.562665,1000,909.73178
-348.207569,1000,911.699406
-478.289451,1000,913.714622
-144.263168,1000,915.70989
-406.318859,1000,917.672745
-330.600405,1000,919.721243
-324.610495,1000,921.732179
-404.452938,1000,923.706769
-324.120656,1000,925.672641
-215.966447,1000,927.601682
-266.26997,1000,929.58023
-306.512495,1000,931.535422
-300.372735,1000,933.509445
-258.583652,1000,935.512351
-272.271609,1000,937.53098
-251.941562,1000,939.49581
-324.321892,1000,941.416362
-386.39902,1000,943.390047
-308.965242,1000,945.335102
-249.802303,1000,947.280976
-275.931806,1000,949.254988
-341.585152,1000,951.249775
-274.1468,1000,953.266178
-249.749206,1000,955.261534
-365.877314,1000,957.231832
-256.531783,1000,959.32698
-284.204368,1000,961.311175
-311.597921,1000,963.289726
-318.86811,1000,965.248479
-289.469311,1000,967.241999
-396.417413,1000,969.202266
-364.708805,1000,971.185156
-192.518745,1000,973.186065
-310.044302,1000,975.116491
-294.260986,1000,977.088333
-344.263809,1000,979.093403
-244.159205,1000,981.068521
-294.740122,1000,983.065844
-263.701932,1000,985.015107
-313.387492,1000,987.029199
-333.601605,1000,989.078275
-315.321937,1000,991.07443
-283.004966,1000,992.963221
-283.332955,1000,994.906761
-280.834069,1000,996.869837
-207.453417,1000,998.900295
-272.670216,1000,1000.898635
-250.235805,1000,1002.913655
-208.358906,1000,1004.87682
-251.428557,1000,1006.90777
-299.92151,1000,1008.920205
